timestamp,user_id,post_id,action,target
2021-12-29 23:51:06,26960,1608,view,0
2021-12-29 23:51:06,134078,3927,view,0
2021-12-29 23:51:06,147682,6676,view,0
2021-12-29 23:51:06,98970,4254,view,0
2021-12-29 23:51:06,91962,2834,view,0
2021-12-29 23:51:06,127278,6251,view,0
2021-12-29 23:51:06,78189,5546,view,0
2021-12-29 23:51:06,120478,1530,view,0
2021-12-29 23:51:06,113678,749,view,0
2021-12-29 23:51:06,40577,305,view,0
2021-12-29 23:51:06,140879,1264,view,0
2021-12-29 23:51:06,13350,6119,view,0
2021-12-29 23:51:06,33768,1723,view,0
2021-12-29 23:51:06,64493,3096,view,0
2021-12-29 23:51:06,57667,712,view,0
2021-12-29 23:51:06,85056,540,view,0
2021-12-29 23:51:06,20156,3114,view,0
2021-12-29 23:51:06,106841,2779,view,0
2021-12-29 23:51:06,71338,5079,view,0
2021-12-29 23:51:06,154485,2410,view,0
2021-12-29 23:51:06,161289,879,view,0
2021-12-29 23:51:06,6545,2735,view,0
2021-12-29 23:51:06,168096,1295,view,0
2021-12-29 23:51:06,50842,5720,view,0
2021-12-29 23:48:26,50842,342,view,0
2021-12-29 23:48:26,168096,2057,view,0
2021-12-29 23:48:26,6545,5104,view,0
2021-12-29 23:48:26,161289,3560,view,0
2021-12-29 23:48:26,113678,872,view,0
2021-12-29 23:48:26,98970,2736,view,0
2021-12-29 23:48:26,106841,4365,view,0
2021-12-29 23:48:26,147682,5180,view,0
2021-12-29 23:48:26,134078,5647,view,0
2021-12-29 23:48:26,26960,261,view,0
2021-12-29 23:48:26,120478,1794,view,0
2021-12-29 23:48:26,78189,541,view,0
2021-12-29 23:48:26,127278,4872,view,0
2021-12-29 23:48:26,91962,2284,view,0
2021-12-29 23:48:26,154485,4472,view,0
2021-12-29 23:48:26,33768,889,view,0
2021-12-29 23:48:26,13350,6742,view,0
2021-12-29 23:48:26,140879,3923,view,0
2021-12-29 23:48:26,40577,1689,view,0
2021-12-29 23:48:26,71338,786,view,0
2021-12-29 23:48:26,20156,5765,view,0
2021-12-29 23:48:26,85056,3551,view,0
2021-12-29 23:48:26,57667,1696,view,0
2021-12-29 23:48:26,64493,3288,view,0
2021-12-29 23:45:27,64493,1225,view,0
2021-12-29 23:45:27,57667,1366,view,0
2021-12-29 23:45:27,154485,968,view,0
2021-12-29 23:45:27,85056,538,view,0
2021-12-29 23:45:27,20156,5575,view,0
2021-12-29 23:45:27,71338,678,view,0
2021-12-29 23:45:27,40577,4755,view,0
2021-12-29 23:45:27,140879,1917,view,0
2021-12-29 23:45:27,13350,929,view,0
2021-12-29 23:45:27,33768,1219,view,0
2021-12-29 23:45:27,161289,420,view,0
2021-12-29 23:45:27,6545,5301,view,0
2021-12-29 23:45:27,168096,3062,view,0
2021-12-29 23:45:27,50842,6695,view,0
2021-12-29 23:45:27,91962,1671,view,0
2021-12-29 23:45:27,127278,2855,view,0
2021-12-29 23:45:27,113678,2314,view,0
2021-12-29 23:45:27,78189,5297,view,0
2021-12-29 23:45:27,120478,1097,view,0
2021-12-29 23:45:27,26960,1260,view,0
2021-12-29 23:45:27,134078,1567,view,0
2021-12-29 23:45:27,147682,5967,view,0
2021-12-29 23:45:27,106841,4973,view,0
2021-12-29 23:45:27,98970,6535,view,0
2021-12-29 23:44:39,136795,5614,view,0
2021-12-29 23:44:39,101708,5433,view,0
2021-12-29 23:44:39,60385,1715,view,0
2021-12-29 23:44:39,164010,5437,view,0
2021-12-29 23:44:39,9264,174,view,0
2021-12-29 23:44:39,143598,3651,view,0
2021-12-29 23:44:39,67210,659,view,0
2021-12-29 23:44:39,16072,1239,view,0
2021-12-29 23:44:39,29685,81,view,0
2021-12-29 23:44:39,94685,5716,view,0
2021-12-29 23:44:39,74056,3864,view,0
