post_id,post_stat
1,0.11143603133159269
2,0.07833251352680767
3,0.11768407803650094
4,0.12552256404759352
5,0.11842645850451931
6,0.08558880604636912
7,0.08071966934111355
8,0.12147906470908103
9,0.08356078102036532
10,0.08141995556025818
11,0.12057877813504823
14,0.08281625933898949
15,0.12224235319194288
16,0.1238512502671511
18,0.125339177624713
19,0.11415947390053433
20,0.12247286656735476
21,0.08812875181121921
22,0.11612164132472401
23,0.0781136638452237
24,0.08364720652856246
25,0.10989010989010989
28,0.06877393197687515
30,0.13950119662425997
32,0.1207910208444682
34,0.11090534979423869
35,0.10859310910582444
36,0.11374752835883026
37,0.11264330954862503
38,0.1208756006406834
39,0.11789270799871507
41,0.11922709417135577
43,0.06946443451253694
44,0.11978319783197831
45,0.12272630002139953
46,0.11810166539675629
47,0.12679780033840948
48,0.11332784862196627
49,0.1137936520563201
50,0.09819189652896924
51,0.08720633299284984
52,0.12241014799154334
53,0.12599091005179155
54,0.12244235141279636
55,0.12429618612557101
56,0.06637541197210087
57,0.12503963640207166
59,0.11800928730062589
60,0.11222403924775143
61,0.10888610763454318
62,0.11216866236823253
63,0.08590833678971381
64,0.12046919581528057
65,0.11995637949836423
66,0.12184828481766043
67,0.0845940494200706
68,0.12249919760350915
70,0.11009174311926606
71,0.12180205891346448
72,0.11067961165048544
74,0.12428176207703767
75,0.11802369010777931
76,0.12345142360356444
77,0.1219459224671517
78,0.12562493351771087
79,0.12128633798317538
81,0.07635168046760837
82,0.1130461987694233
83,0.11427683381682553
84,0.11324435318275154
85,0.12009726186700496
87,0.12023809523809524
89,0.11848292782662033
93,0.11721907841552143
94,0.11887755102040816
96,0.07056681083541999
97,0.12094963105550209
98,0.11701693531932258
99,0.12414012064768759
100,0.1235632183908046
101,0.10327347710284389
102,0.12366043286404707
103,0.08080387358775447
104,0.06800061330880099
105,0.08399048691951433
106,0.11123746510906647
107,0.12289258827271764
109,0.08825
110,0.12290206076056936
111,0.08493349205527664
113,0.08810797046091164
114,0.11765339074273412
115,0.1207903962604908
117,0.12154233025984912
119,0.07020057306590258
120,0.08813118167621031
121,0.1165107767385116
122,0.11965720407070166
123,0.12362340747138847
124,0.08416740133796609
126,0.11583874055951494
127,0.11019482527574477
128,0.1174045138888889
129,0.09603778535817371
130,0.11661038412832418
131,0.12497297297297297
132,0.08154968312806408
133,0.0978275536364863
134,0.11935309973045823
135,0.12086513994910941
136,0.11271527276477261
137,0.1158899609936358
138,0.12324509698853285
139,0.06921131294550471
140,0.12642307275290035
141,0.11333673990802248
142,0.11942399307059333
143,0.06733848918053277
145,0.12504000853515418
146,0.11794268605645851
147,0.1255868544600939
148,0.12148541114058356
149,0.07319297712244432
150,0.12538360368259535
151,0.11526576019777503
152,0.11408850994721884
153,0.11507647487254188
154,0.10909656029838376
155,0.11592689295039164
157,0.08532423208191127
158,0.08153078202995008
159,0.12054347826086957
160,0.11910064694029059
162,0.12269548633184997
163,0.06796478663085646
164,0.06905370843989769
165,0.12075794882774864
167,0.12193575655114117
168,0.11295748802120502
169,0.11863887185775598
170,0.12001733102253033
171,0.11735914726995866
172,0.11846914642012471
173,0.11106532042035853
174,0.10396082137640691
176,0.11194574856546688
177,0.08282320933396117
178,0.07012007389162561
179,0.12245333333333333
180,0.06800736874424317
181,0.11788440567066522
182,0.140555170894442
183,0.11054678200142846
185,0.119430558574223
186,0.12115948322657692
187,0.12234654397155705
188,0.11696087540002065
189,0.11295990078544853
190,0.12199349945828819
191,0.11551973548253772
192,0.11140774206797413
193,0.0840974587372282
194,0.0795964125560538
196,0.11808749598887582
197,0.1177183240787481
198,0.11848748522934795
199,0.08616322944125704
200,0.07044167610419026
201,0.11784654514624841
202,0.1146817248459959
203,0.1228348119983101
204,0.11351240094679428
205,0.08902606310013718
206,0.12322021196873996
207,0.12415422618408334
208,0.08225331749883823
210,0.11079225171671621
211,0.11919685541272708
212,0.11558401951814577
213,0.11472997693470134
214,0.06457621856566284
215,0.10666942833471417
216,0.10989345509893456
217,0.06917850525015441
218,0.11216866236823253
219,0.0770375883885374
220,0.09402864090786274
221,0.11660741493143728
222,0.10802980132450331
223,0.12595460901366032
